highwayid,direction,highwaylength,highwayname,startmp,endmp,bound,oppositehighwayid,milepost_direction,end_location,start_location,show_on_site
614,WEST,,R5 I-84,,,WB,,DESC,"","",f
0,unkn,,n/a,76.54,68.32,uB,,DESC,,,f
615,EAST,,R5 I-84,,,EB,,ASC,"","",f
16,SOUTH,,US 99E,,,SB,,DESC,,,f
61,SOUTH,,SR 7,,,SB,,DESC,,,f
65,SOUTH,,SR 97,,,SB,,DESC,,,f
69,SOUTH,,SR 101,,,SB,,DESC,,,f
71,SOUTH,,SR 103,,,SB,,DESC,,,f
73,SOUTH,,SR 105,,,SB,,DESC,,,f
77,SOUTH,,SR 123,,,SB,,DESC,,,f
79,SOUTH,,SR 131,,,SB,,DESC,,,f
81,SOUTH,,SR 141,,,SB,,DESC,,,f
85,SOUTH,,SR 197,,,SB,,DESC,,,f
87,SOUTH,,SR 401,,,SB,,DESC,,,f
89,SOUTH,,SR 409,,,SB,,DESC,,,f
91,SOUTH,,SR 411,,,SB,,DESC,,,f
95,SOUTH,,SR 433,,,SB,,DESC,,,f
97,SOUTH,,SR 501,,,SB,,DESC,,,f
101,SOUTH,,SR 503,,,SB,,DESC,,,f
105,SOUTH,,SR 505,,,SB,,DESC,,,f
109,SOUTH,,SR 507,,,SB,,DESC,,,f
57,WEST,,SR 4,,,WB,,DESC,,,f
59,WEST,,SR 6,,,WB,,DESC,,,f
63,WEST,,SR 12,,,WB,,DESC,,,f
67,WEST,,SR 100,,,WB,,DESC,,,f
75,WEST,,SR 122,,,WB,,DESC,,,f
83,WEST,,SR 142,,,WB,,DESC,,,f
93,WEST,,SR 432,,,WB,,DESC,,,f
99,WEST,,SR 502,,,WB,,DESC,,,f
103,WEST,,SR 504,,,WB,,DESC,,,f
107,WEST,,SR 506,,,WB,,DESC,,,f
111,WEST,,SR 508,,,WB,,DESC,,,f
18,WEST,,US 30,,,WB,,DESC,,,f
14,WEST,,US 26-MT HOOD HWY,,,WB,,DESC,,,f
20,SOUTH,,US 99W,,,SB,,DESC,,,f
22,SOUTH,,213,,,SB,,DESC,,,f
24,WEST,,212/224,,,WB,,DESC,,,f
603,SOUTH,,Delta Hwy,,,SB,,DESC,,,f
613,CONST,,Staleys,,,JB,,DESC,,,f
15,NORTH,,US 99E,,,NB,,ASC,,,f
60,NORTH,,SR 7,,,NB,,ASC,,,f
64,NORTH,,SR 97,,,NB,,ASC,,,f
68,NORTH,,SR 101,,,NB,,ASC,,,f
70,NORTH,,SR 103,,,NB,,ASC,,,f
72,NORTH,,SR 105,,,NB,,ASC,,,f
76,NORTH,,SR 123,,,NB,,ASC,,,f
78,NORTH,,SR 131,,,NB,,ASC,,,f
80,NORTH,,SR 141,,,NB,,ASC,,,f
84,NORTH,,SR 197,,,NB,,ASC,,,f
86,NORTH,,SR 401,,,NB,,ASC,,,f
88,NORTH,,SR 409,,,NB,,ASC,,,f
90,NORTH,,SR 411,,,NB,,ASC,,,f
94,NORTH,,SR 433,,,NB,,ASC,,,f
96,NORTH,,SR 501,,,NB,,ASC,,,f
100,NORTH,,SR 503,,,NB,,ASC,,,f
104,NORTH,,SR 505,,,NB,,ASC,,,f
108,NORTH,,SR 507,,,NB,,ASC,,,f
56,EAST,,SR 4,,,EB,,ASC,,,f
58,EAST,,SR 6,,,EB,,ASC,,,f
62,EAST,,SR 12,,,EB,,ASC,,,f
66,EAST,,SR 100,,,EB,,ASC,,,f
74,EAST,,SR 122,,,EB,,ASC,,,f
82,EAST,,SR 142,,,EB,,ASC,,,f
92,EAST,,SR 432,,,EB,,ASC,,,f
98,EAST,,SR 502,,,EB,,ASC,,,f
102,EAST,,SR 504,,,EB,,ASC,,,f
106,EAST,,SR 506,,,EB,,ASC,,,f
110,EAST,,SR 508,,,EB,,ASC,,,f
17,EAST,,US 30,,,EB,,ASC,,,f
13,EAST,,US 26-MT HOOD HWY,,,EB,,ASC,,,f
19,NORTH,,US 99W,,,NB,,ASC,,,f
21,NORTH,,213,,,NB,,ASC,,,f
23,EAST,,212/224,,,EB,,ASC,,,f
604,NORTH,,Salem I-5,,,NB,,ASC,,,f
607,WEST,,Mt. Hood,61.77,43.77,WB,,DESC,"","",f
606,EAST,,Mt. Hood,43.77,61.77,EB,,ASC,"","",f
601,WEST,,Beltline Hwy,11.66,7.65,WB,,DESC,"","",f
600,EAST,,Beltline Hwy,7.65,11.66,EB,,ASC,"","",f
612,CONST,,Construction,0.0,0.0,ZB,,DESC,"","",f
602,NORTH,,Delta Hwy,0.32,0.9,NB,,ASC,"","",f
605,SOUTH,,Salem I-5,252.3,252.3,SB,,DESC,,,f
609,WEST,,DS,69.31,69.31,WB,,DESC,,,f
611,SOUTH,,DS,307.92,0.2,SB,,DESC,,,f
608,EAST,,DS,5.82,69.31,EB,,ASC,,,f
610,NORTH,,DS,292.06,307.92,NB,,ASC,,,f
616,EAST,13.46,R2 Beltline Hwy,0.0,13.46,EB,617,ASC,"","",t
617,WEST,13.46,R2 Beltline Hwy,13.46,0.0,WB,616,DESC,"","",t
618,NORTH,2.02,R2 Delta Hwy,2.28,0.26,NB,619,ASC,"","",t
619,SOUTH,2.39,R2 Delta Hwy,0.00,2.39,SB,618,DESC,"","",t
620,EAST,60.88,R2 OR18,0.0,60.88,EB,621,ASC,"","",t
621,WEST,60.88,R2 OR18,60.88,0.0,WB,620,DESC,"","",t
622,NORTH,109.71,R2 OR99W,126.38,16.67,NB,623,ASC,"","",t
623,SOUTH,109.71,R2 OR99W,16.67,126.38,SB,622,DESC,"","",t
624,EAST,21.98,R4 Century Dr,21.98,0.00,EB,625,ASC,"","",t
625,WEST,21.98,R4 Century Dr,0.00,21.98,WB,624,DESC,"","",t
626,SOUTH,282.65,R2 I-5,282.65,0,SB,,DESC,"","",t
627,EAST,55.19,R2 Staleys,0.0,55.19,EB,,ASC,"","",t
10,SOUTH,10.78,OR-217,291.9,0.08,SB,9,DESC,US 26,I-5,t
12,WEST,8.4,US26,73.71,0.0,WB,11,DESC,185th,US 26,t
2,SOUTH,20.72,I-5,307.9,283.93,SB,1,DESC,Columbia River,Wilsonville,t
4,SOUTH,24.12,I-205,24.77,1.96,SB,3,DESC,Columbia River,Stafford Rd,t
6,SOUTH,2.47,I-405,299.5,0.55,SB,5,DESC,Everett,Broadway,t
8,WEST,3.69,I-84,16.9,0.45,WB,7,DESC,82nd,33rd,t
51,WEST,,SR 14,14.65,0.58,WB,50,DESC,I-205,I-5,t
53,WEST,,SR 500,5.42,0.66,WB,52,DESC,112th,Thurston Way,t
55,SOUTH,,WA I-205,35.62,27.26,SB,54,DESC,I-5,Columbia River,t
502,SOUTH,,WA I-5,12.49,0.45,SB,501,DESC,I-205,Columbia River,t
1,NORTH,23.02,I-5,283.93,307.9,NB,2,ASC,Columbia River,Wilsonville,t
3,NORTH,20.07,I-205,1.96,23.41,NB,4,ASC,Columbia River,Stafford Rd,t
5,NORTH,0,I-405,0.2,4.2,NB,6,ASC,Glisan,Couch,t
7,EAST,3.7,I-84,0.1,16.9,EB,8,ASC,60th,I-5,t
50,EAST,,SR 14,0.58,14.65,EB,51,ASC,I-205,I-5,t
52,EAST,,SR 500,0.66,5.42,EB,53,ASC,112th,Thurston Way,t
54,NORTH,,WA I-205,27.26,35.7,NB,55,ASC,I-5,Columbia River,t
501,NORTH,,WA I-5,0.45,12.48,NB,502,ASC,I-205,Columbia River,t
11,EAST,13.32,US26,0.0,73.71,EB,12,ASC,Jackson School Road,US 26,t
9,NORTH,6.94,OR-217,0.25,7.11,NB,10,ASC,US 26,I-5,t
628,EAST,,R3 OR62,0.05,103.95,EB,629,ASC,Lobert Junction,Medford,t
629,WEST,,R3 OR62,103.95,0.05,WB,628,DESC,Medford,Lobert Junction,t
630,NORT,,R4 US97,291.73,0.03,NB,,ASC,Biggs,Weed,t
631,NORT,,R3 I-5,,,NB,,ASC,,,t
